QPSolution
0.0653518
-1.92868
0.110907
0.0151848
-0.147287
0.0261417
-1.85841
-2.11975
-0.465825
-0.312546
0.119617
0.00427154
-4.63263
-3.48917
-0.643046
0.208637
-0.0049795
-0.0143786
-8.57555
-4.24116
-0.190809
0.0449325
-0.0228662
0.00455694
-12.9809
-4.55668
-0.147641
-0.000962762
-0.00271573
0.000961616
-17.6879
-4.8609
-0.157209
-0.00220952
0.00025335
0.000132902
-0.05021
4.82165
-0.0723062
0.00505857
-0.0559925
0.00836846
4.65656
4.51008
-0.309393
-0.135227
0.0195
0.00584189
8.74736
3.59285
-0.539653
0.00119219
0.037248
-0.00620507
11.8328
2.63509
-0.374647
0.0881335
-0.0220479
-0.00199417
14.1573
2.05203
-0.262483
-0.0199998
-0.00723365
0.00319059
15.9228
1.45408
-0.333982
-0.0170285
0.00353096
0.000322744
